Page Number,Word Count,Content
2,1,a
4,3,ad aa oe
5,2,a pa
6,10,rus em a cm as ma im cei qi mb
7,11,a pa esa pa aa rs a a a ra fr
8,2,mim aa
9,29,a a am es a mx w a a a a as em a em até a w a com sp nl w rj cep dc rj cep mv
10,27,à rr a es ag a xx em setembro tm crf ru a sn pm a fe a a ne a w w a ad à si
11,16,br disso até nw em a rj rj cep ec rj ds com br fl pa
12,28,rj à a que à oo sob oito fevereiro mil às a rj df rj as cpf pl a março mil à cpf à março em dentro esa
13,15,aa a ds es ne sc nd aa sp oc a w ps fátima em
14,3,a am ra
15,4,cpp a a à
16,19,sn a df dl bd a ms ma a a à ne ha a lá pe em aa es
17,32,a a xx a aa a à ms ds a a ec pt a es es es a a a rr ix es al aa lt ac ds df a al a
18,9,à pe que a à a às ms w
19,19,fr com a a sob a em março com a a março que a a itaú a às julho
20,26,itaú a que a mil noventa em cpf sb abr fev fev borges abr a jan a josé al a crc rj ru je rj cep
21,16,pt cristóvão à a a as que a que es ram a sp com br aa
22,10,à em à à a cristóvão robson daí crc rj
23,11,fl em a em itaú a às em a com em
25,8,rp pm es https rj br jsp jsp
26,8,pe pm pm eb https br jsp jsp
27,4,celi aa às em
28,14,a oo ufir a jan ufir a noventa cinco oitenta sem às a am
29,8,a com a ainda a junho à em
30,5,aa vt a a a
